ck,gk,name,bdate,ms,gender,income,childrenhome,occ,hof,nco,addr1,addr2,phone,datefirstpuchase,datelastpurchase
11028,17,Jill Jimenez,1966-04-11,M,F,30000,0,Clerical,1,2,9111 Rose Ann Ave,,1 (11) 500 555-0116,29/07/2016,09/04/2024
11029,32,Jimmy Moreno,1966-12-21,M,M,30000,0,Clerical,1,2,6385 Mark Twain,,1 (11) 500 555-0146,22/07/2016,14/05/2024
11030,28,Bethany Yuan,1967-02-22,M,F,10000,1,Clerical,1,2,636 Vine Hill Way,,1 (11) 500 555-0182,08/08/2016,12/05/2024
11031,8,Theresa Ramos,1967-08-22,M,F,20000,0,Skilled Manual,1,2,6465 Detroit Ave.,,1 (11) 500 555-0195,04/08/2016,16/05/2024
11032,35,Denise Stone,1967-06-11,M,F,20000,0,Skilled Manual,1,2,626 Bentley Street,,1 (11) 500 555-0169,21/08/2016,11/05/2024
11033,9,Jaime Nath,1967-09-23,M,M,20000,0,Skilled Manual,1,2,5927 Rainbow Dr,,1 (11) 500 555-0137,18/08/2016,08/05/2024
11034,12,Ebony Gonzalez,1967-06-19,M,F,20000,0,Skilled Manual,1,2,5167 Condor Place,,1 (11) 500 555-0136,04/08/2016,13/05/2024
11035,33,Wendy Dominguez,1968-02-24,M,F,10000,1,Clerical,1,2,1873 Mt. Whitney Dr,,1 (11) 500 555-0177,09/08/2016,18/05/2024
11036,343,Jennifer Russell,1998-12-18,M,F,60000,0,Skilled Manual,1,2,3981 Augustine Drive,,115-555-0183,26/07/2018,26/07/2023
11037,49,Chloe Garcia,1997-11-27,S,F,40000,0,Clerical,0,2,8915 Woodside Way,,229-555-0112,24/07/2018,24/07/2023
11038,6,Diana Hernandez,1968-03-23,M,F,10000,1,Clerical,1,2,8357 Sandy Cove Lane,,1 (11) 500 555-0114,10/08/2016,15/05/2024
11039,19,Marc Martin,1968-12-17,M,M,30000,0,Clerical,1,2,9353 Creekside Dr.,,1 (11) 500 555-0183,10/08/2016,14/05/2024
11040,642,Jesse Murphy,1997-08-01,M,M,30000,0,Skilled Manual,1,2,3350 Kingswood Circle,,961-555-0176,05/10/2018,05/10/2023
11041,325,Amanda Carter,1997-10-16,M,F,60000,0,Skilled Manual,1,2,5826 Escobar,,295-555-0145,18/07/2018,18/07/2023
11042,338,Megan Sanchez,1997-06-13,M,F,70000,0,Skilled Manual,1,2,1397 Paraiso Ct.,,404-555-0199,25/07/2018,19/04/2024
11043,325,Nathan Simmons,1996-02-24,M,M,60000,0,Skilled Manual,1,2,1170 Shaw Rd,,296-555-0181,09/11/2018,19/02/2024
11044,25,Adam Flores,1969-05-24,M,M,20000,1,Clerical,1,2,6935 Candle Dr,,1 (11) 500 555-0163,31/08/2016,11/05/2024
11045,8,Leonard Nara,1970-05-19,S,M,30000,0,Skilled Manual,0,2,7466 La Vista Ave.,,1 (11) 500 555-0151,12/10/2018,01/05/2024
11046,6,Christine Yuan,1970-03-22,M,F,30000,0,Skilled Manual,1,2,2356 Orange St,,1 (11) 500 555-0113,09/08/2016,15/05/2024
11047,34,Jaclyn Lu,1970-02-27,M,F,30000,0,Skilled Manual,0,2,2812 Mazatlan,,1 (11) 500 555-0137,06/08/2016,22/05/2024
11048,39,Jeremy Powell,1970-11-22,M,M,30000,0,Skilled Manual,1,2,1803 Potomac Dr.,,1 (11) 500 555-0183,13/08/2016,27/06/2024
11049,307,Carol Rai,2000-07-18,S,F,40000,0,Clerical,1,2,6064 Madrid,,654-555-0180,10/09/2018,01/05/2024
11050,31,Alan Zheng,1971-09-07,M,M,30000,0,Skilled Manual,1,2,2741 Gainborough Dr.,,1 (11) 500 555-0135,23/08/2016,22/05/2024
11052,8,Heidi Lopez,1971-08-07,S,F,40000,0,Clerical,0,2,2514 Via Cordona,,1 (11) 500 555-0168,20/08/2016,28/11/2023
11053,359,Ana Price,2000-08-20,M,F,60000,0,Skilled Manual,0,2,1660 Stonyhill Circle,,859-555-0113,21/07/2018,21/07/2023
11054,34,Deanna Munoz,1972-03-10,M,F,40000,0,Skilled Manual,1,2,5825 B Way,,1 (11) 500 555-0192,06/08/2016,01/12/2023
11055,22,Gilbert Raje,1972-03-05,M,M,40000,0,Skilled Manual,1,2,8811 The Trees Dr.,,1 (11) 500 555-0129,03/08/2016,09/12/2023
11056,10,Michele Nath,1973-04-03,M,F,40000,0,Skilled Manual,1,2,5464 Janin Pl.,,1 (11) 500 555-0178,29/08/2016,02/12/2023
11057,5,Carl Andersen,1973-10-12,M,M,70000,0,Management,1,2,6930 Lake Nadine Place,,1 (11) 500 555-0181,25/08/2016,22/11/2023
11058,29,Marc Diaz,1974-04-27,M,M,80000,0,Skilled Manual,1,2,6645 Sinaloa,,1 (11) 500 555-0149,09/09/2016,06/12/2023
11059,27,Ashlee Andersen,1974-04-01,S,F,80000,0,Skilled Manual,1,2,8255 Highland Road,,1 (11) 500 555-0112,22/08/2018,17/09/2023
11060,40,Jon Zhou,1974-03-17,M,M,80000,0,Skilled Manual,1,2,6574 Hemlock Ave.,,1 (11) 500 555-0174,19/09/2016,27/12/2023
11061,23,Todd Gao,1974-02-27,M,M,80000,0,Skilled Manual,1,2,8808 Geneva Ave,,1 (11) 500 555-0191,13/09/2016,16/12/2023
11062,547,Noah Powell,1995-09-02,M,M,40000,0,Skilled Manual,1,2,9794 Marion Ct,,767-555-0113,11/07/2018,11/07/2023
11063,634,Angela Murphy,1995-04-07,S,F,40000,0,Skilled Manual,1,2,4927 Virgil Street,# 21,451-555-0162,16/07/2018,16/07/2023
11064,315,Chase Reed,1995-12-07,M,M,40000,0,Skilled Manual,1,2,2721 Alexander Pl.,,892-555-0184,29/07/2018,29/07/2023
11065,331,Jessica Henderson,1993-10-09,M,F,60000,0,Skilled Manual,0,2,9343 Ironwood Way,,278-555-0186,14/08/2018,13/07/2024
11066,543,Grace Butler,1993-11-27,M,F,70000,0,Professional,1,2,4739 Garden Ave.,,712-555-0141,02/12/2018,22/03/2024
11067,632,Caleb Carter,1996-09-25,S,M,60000,0,Professional,1,2,9563 Pennsylvania Blvd.,,944-555-0167,19/02/2019,15/07/2024
11068,40,Tiffany Liang,1975-09-23,S,F,80000,0,Skilled Manual,1,2,3608 Sinclair Avenue,# 701,1 (11) 500 555-0177,01/11/2018,10/04/2024
11069,23,Carolyn Navarro,1975-09-21,S,F,80000,0,Skilled Manual,0,2,4606 Springwood Court,,1 (11) 500 555-0145,18/10/2016,06/12/2023
11070,39,Willie Raji,1975-04-05,M,M,80000,0,Skilled Manual,1,2,6260 Vernal Drive,,1 (11) 500 555-0151,29/10/2016,28/12/2023
11071,24,Linda Serrano,1975-06-26,S,F,80000,0,Skilled Manual,1,2,9808 Shaw Rd.,,1 (11) 500 555-0130,02/09/2018,03/06/2024
11072,17,Casey Luo,1975-02-06,S,F,80000,0,Skilled Manual,0,2,9513 Roslyn Drive,,1 (11) 500 555-0125,01/10/2016,17/12/2023
11073,16,Amy Ye,1976-08-14,S,F,70000,0,Skilled Manual,1,2,2262 Kirkwood Ct.,,1 (11) 500 555-0185,24/09/2018,22/02/2024
11074,28,Levi Arun,1976-08-28,S,M,70000,0,Skilled Manual,1,2,4661 Bluetail,,1 (11) 500 555-0127,24/09/2018,28/11/2023
11075,32,Felicia Jimenez,1977-11-16,S,F,80000,0,Professional,1,2,786 Eastgate Ave,,1 (11) 500 555-0165,29/10/2016,26/12/2023
11076,19,Blake Anderson,1977-07-13,S,M,80000,0,Professional,1,2,5436 Clear,# 101,1 (11) 500 555-0113,22/10/2016,23/12/2023
11077,36,Leah Ye,1977-09-19,S,F,80000,0,Professional,0,2,1291 Arguello Blvd.,,1 (11) 500 555-0154,16/10/2016,14/12/2023
11078,49,Gina Martin,1994-01-10,S,F,40000,0,Professional,0,2,1349 Sol St.,,196-555-0114,19/08/2018,31/07/2024
11079,34,Donald Gonzalez,1979-03-11,S,M,160000,0,Management,1,2,4236 Malibu Place,,1 (11) 500 555-0137,16/09/2018,04/07/2024
11080,30,Damien Chander,1979-07-17,M,M,170000,0,Management,1,2,9941 Stonehedge Dr.,,1 (11) 500 555-0111,11/10/2016,25/12/2023
11081,311,Savannah Baker,1986-07-24,M,F,120000,2,Management,1,3,1210 Trafalgar Circle,,478-555-0117,16/08/2018,15/10/2023
11082,322,Angela Butler,1986-08-04,S,F,130000,1,Management,0,3,6040 Listing Ct,,579-555-0195,26/07/2018,09/05/2024
11083,336,Alyssa Cox,1986-03-15,M,F,130000,1,Management,1,3,867 La Orinda Place,,561-555-0140,10/07/2018,11/05/2024
11084,543,Lucas Phillips,1977-09-12,S,M,80000,0,Skilled Manual,0,2,8668 St. Celestine Court,,863-555-0172,08/07/2018,24/05/2024
11086,369,Ryan Brown,1977-12-23,M,M,70000,1,Professional,1,0,2939 Wesley Ct.,,539-555-0198,03/01/2019,23/06/2024
11087,307,Tamara Liang,1977-10-03,M,F,70000,2,Professional,0,0,3791 Rossmor Parkway,,178-555-0152,29/08/2018,10/02/2024
11088,359,Hunter Davis,1977-11-25,M,M,80000,1,Management,1,0,4308 Sand Pointe Lane,,612-555-0141,17/07/2018,15/05/2024
11089,337,Abigail Price,1977-02-05,S,F,80000,1,Management,1,1,2685 Blackburn Ct,,532-555-0117,02/07/2018,21/05/2024
11090,338,Trevor Bryant,1977-12-17,S,M,90000,0,Professional,1,1,5781 Sharon Dr.,,853-555-0174,07/02/2017,24/05/2024
11091,50,Dalton Perez,1977-04-04,M,M,90000,0,Professional,1,1,6083 San Jose,,559-555-0115,02/08/2018,11/07/2024
11092,22,Cheryl Diaz,1987-05-06,M,F,90000,2,Professional,1,0,7297 Kaywood Drive,,1 (11) 500 555-0192,09/10/2016,23/12/2023
11093,19,Aimee He,1987-09-10,M,F,100000,0,Management,1,0,1833 Olympic Drive,,1 (11) 500 555-0161,08/10/2016,10/12/2023
11094,33,Cedric Ma,1982-04-01,S,M,70000,0,Skilled Manual,0,1,3407 Oak Brook Place,,1 (11) 500 555-0115,09/10/2018,14/07/2024
11095,13,Chad Kumar,1982-09-01,S,M,70000,0,Skilled Manual,1,1,1681 Lighthouse Way,,1 (11) 500 555-0151,02/10/2016,27/12/2023
11096,12,Andrés Anand,1982-08-10,M,M,60000,0,Professional,1,1,5423 Los Gatos Ct.,,1 (11) 500 555-0184,12/10/2016,31/01/2024
11097,40,Edwin Nara,1981-10-27,M,M,60000,0,Skilled Manual,1,1,719 William Way,,1 (11) 500 555-0112,05/10/2016,25/01/2024
11098,14,Mallory Rubio,1981-05-01,S,F,60000,0,Skilled Manual,0,1,6452 Harris Circle,,1 (11) 500 555-0157,15/08/2018,18/04/2024
11099,13,Adam Ross,1981-03-08,M,M,60000,0,Professional,1,1,4378 Westminster Place,,1 (11) 500 555-0186,08/10/2016,02/01/2024
11100,28,Latasha Navarro,1980-09-15,S,F,60000,0,Skilled Manual,1,1,6954 Ranch Road,,1 (11) 500 555-0123,17/10/2016,08/02/2024
11101,33,Abby Sai,1985-05-08,S,F,70000,0,Professional,0,1,7074 N. Spoonwood Court,,1 (11) 500 555-0174,30/10/2016,31/12/2023
11102,18,Julia Nelson,1985-04-21,S,F,80000,5,Professional,1,4,2196 Coat Ct.,,1 (11) 500 555-0124,17/01/2019,11/06/2024
11103,3,Cassie Chande,1984-10-17,S,F,70000,0,Professional,1,1,9448 San Marino Ct.,,1 (11) 500 555-0166,16/10/2016,08/12/2023
11104,23,Edgar Sara,1984-03-11,M,M,70000,0,Professional,0,1,6127 Lilly Lane,,1 (11) 500 555-0125,04/11/2016,17/12/2023
11105,8,Candace Fernandez,1984-12-28,S,F,70000,0,Professional,0,1,5029 Blue Ridge,,1 (11) 500 555-0162,14/11/2016,07/12/2023
11106,40,Jessie Liu,1984-09-11,S,M,70000,0,Professional,0,1,3063 Blue Jay Drive,,1 (11) 500 555-0163,18/11/2016,17/12/2023
11107,17,Bianca Lin,1979-09-09,M,F,90000,0,Professional,1,1,7530 Eola,,1 (11) 500 555-0121,01/11/2016,23/12/2023
11108,13,Kari Alvarez,1983-07-14,S,F,70000,0,Professional,0,2,9178 Thornhill Place,,1 (11) 500 555-0169,03/11/2016,25/12/2023
11109,38,Ruben Kapoor,1983-11-05,S,M,70000,0,Professional,0,2,1984 Glendale Circle,,1 (11) 500 555-0132,10/11/2016,26/12/2023
11110,3,Curtis Yang,1982-06-06,M,M,60000,0,Skilled Manual,1,1,4052 Mt. Wilson Way,,1 (11) 500 555-0127,01/11/2016,21/02/2024
11111,34,Meredith Gutierrez,1982-02-23,M,F,60000,0,Skilled Manual,1,1,7610 Northridge Ct.,,1 (11) 500 555-0179,20/11/2016,23/02/2024
11112,25,Crystal Wang,1982-09-09,M,F,60000,0,Skilled Manual,1,1,2773 Kirkwood Dr,,1 (11) 500 555-0134,25/11/2016,05/03/2024
11113,30,Micheal Blanco,1982-02-21,M,M,70000,4,Professional,1,2,596 Marfargoa Drive,,1 (11) 500 555-0131,05/08/2018,23/10/2023
11114,14,Leslie Moreno,1982-05-28,S,F,70000,4,Skilled Manual,1,2,7941 Cristobal,,1 (11) 500 555-0115,19/09/2018,28/06/2024
11115,17,Alvin Cai,1982-02-12,M,M,70000,4,Skilled Manual,1,2,7759 Azalea Avenue,,1 (11) 500 555-0191,14/08/2018,05/07/2024
11116,18,Clinton Carlson,1982-10-07,M,M,70000,4,Skilled Manual,1,2,7943 Cunha Ct.,,1 (11) 500 555-0184,16/09/2018,18/04/2024
11117,8,April Deng,1981-02-21,M,F,70000,4,Skilled Manual,1,3,485 Ash Lane,,1 (11) 500 555-0182,06/11/2016,27/12/2023
11118,6,Alvin Zeng,1977-07-03,S,M,80000,0,Skilled Manual,0,1,3853 Wildcat Circle,Unit 13c12,1 (11) 500 555-0174,11/01/2019,29/07/2024
11119,13,Evan James,1955-04-10,S,M,30000,0,Clerical,0,2,4157 Sierra Ridge,,1 (11) 500 555-0187,07/08/2018,26/05/2024
11120,18,Beth Jiménez,1956-08-09,S,F,40000,0,Management,1,1,7401 Las Palmas,,1 (11) 500 555-0164,14/11/2016,22/03/2024
11121,10,Orlando Suarez,1980-11-18,M,M,70000,4,Skilled Manual,1,3,7743 Hames Dr,,1 (11) 500 555-0198,26/12/2018,07/05/2024
11122,12,Byron Vazquez,1980-04-02,M,M,70000,4,Skilled Manual,1,3,3187 Hackamore Lane,,1 (11) 500 555-0136,25/08/2018,23/02/2024
11123,39,Philip Alvarez,1980-06-20,M,M,70000,4,Skilled Manual,1,3,2775 Mt. Olivet Pl.,,1 (11) 500 555-0191,19/10/2018,28/07/2024
11124,40,Ross Jordan,1977-07-27,S,M,80000,0,Skilled Manual,1,1,6973 Dublin Court,,1 (11) 500 555-0126,05/11/2016,20/12/2023
11125,37,Dana Navarro,1976-04-08,S,F,70000,0,Skilled Manual,1,1,8481 Zartop Street,,1 (11) 500 555-0172,04/08/2018,04/01/2024
11126,11,Shaun Carson,1969-04-07,M,M,10000,1,Skilled Manual,0,2,57 Wolf Way,,1 (11) 500 555-0155,28/11/2016,06/05/2024
11127,361,Jan Edwards,1995-10-21,M,F,40000,0,Skilled Manual,1,1,9409 The Alameda,,111-555-0118,12/10/2018,03/04/2024
11128,635,Samantha Long,1995-12-05,M,F,40000,0,Skilled Manual,1,1,1606 Alderwood Lane,,175-555-0139,21/12/2018,13/02/2024
11129,638,Julia Wright,1995-08-05,S,F,40000,0,Skilled Manual,1,1,7397 Central Blvd.,,456-555-0174,06/02/2017,13/07/2023
11131,50,Amanda Rivera,2000-03-12,M,F,30000,0,Skilled Manual,0,2,9573 Royal Oak Rd.,,918-555-0126,20/04/2019,26/07/2024
11132,51,Melissa Richardson,2000-10-26,S,F,30000,0,Skilled Manual,0,2,6832 Fruitwood Dr,,928-555-0118,11/10/2018,11/10/2023
11134,30,Larry Townsend,1966-02-26,S,M,10000,0,Skilled Manual,1,2,7034 Carson,,1 (11) 500 555-0130,03/11/2016,06/05/2024
11135,302,Marcus Harris,1999-11-03,S,M,30000,0,Clerical,0,2,9068 Quiet Place Drive,,442-555-0119,20/10/2018,20/10/2023
11136,53,Brianna Morgan,1998-10-26,S,F,40000,0,Skilled Manual,0,2,9005 Eagle Ct.,,954-555-0117,07/07/2018,07/07/2023
11137,641,Jasmine Taylor,1998-07-20,M,F,40000,0,Skilled Manual,1,2,2457 Matterhorn Court,,557-555-0146,01/02/2019,23/07/2024
11138,325,Lauren Davis,1998-09-15,M,F,40000,0,Skilled Manual,0,2,8105 Pembrook Court,,832-555-0121,22/03/2019,03/07/2024
11139,28,Tanya Moreno,1958-11-09,S,F,30000,0,Clerical,0,2,6155 Wilbur Drive,,1 (11) 500 555-0185,17/03/2019,19/04/2024
11140,301,Javier Alvarez,1997-02-11,S,M,30000,0,Clerical,0,2,8935 Etcheverry Dr.,,763-555-0134,20/09/2018,20/09/2023
11141,314,Nicole Ramirez,1997-06-21,M,F,40000,0,Skilled Manual,0,2,1101 C Street,,152-555-0162,17/11/2018,31/03/2024
11142,51,Eduardo Patterson,1997-08-14,S,M,40000,0,Skilled Manual,0,2,6255 Macalvey Dr.,,190-555-0184,17/08/2018,16/07/2024
11143,334,Jonathan Henderson,1997-02-04,M,M,40000,0,Skilled Manual,1,2,165 East Lane Road,,149-555-0113,17/12/2018,21/06/2024
11144,607,Edward Hernandez,1999-09-09,S,M,40000,0,Skilled Manual,0,2,7607 Pine Hollow Road,,178-555-0196,29/07/2018,29/07/2023
11145,536,Jasmine Coleman,1999-12-08,S,F,40000,0,Skilled Manual,0,2,1961 Oak Grove Road,,857-555-0115,29/07/2018,29/07/2023
11146,8,Karla Goel,1959-08-26,S,F,40000,0,Management,1,2,3272 Corrie Lane,,1 (11) 500 555-0137,09/08/2018,18/03/2024
11147,40,Ernest Wu,1959-02-05,M,M,60000,0,Management,1,1,1832 RiverRock Dr,,1 (11) 500 555-0139,13/11/2016,18/04/2024
11148,22,Ross Vazquez,1961-08-16,M,M,40000,0,Management,1,2,1201 Paso Del Rio Way,,1 (11) 500 555-0163,08/09/2018,05/06/2024
11149,25,Theodore Gill,1961-04-20,M,M,40000,0,Management,1,2,9120 Pinewood Court,,1 (11) 500 555-0194,06/12/2018,01/06/2024
11150,39,Russell Shen,1961-03-15,S,M,40000,0,Management,1,2,4755 Easley Drive,,1 (11) 500 555-0191,28/09/2018,16/01/2024
11151,18,Melinda Gill,1962-02-25,S,F,60000,0,Management,0,1,805 Rainier Dr.,,1 (11) 500 555-0117,15/11/2016,22/04/2024
11152,633,James Williams,1996-01-10,S,M,40000,0,Skilled Manual,1,2,6827 Seagull Court,,355-555-0153,13/07/2018,13/07/2023
11153,635,Angela James,1996-06-23,M,F,40000,0,Skilled Manual,1,2,8877 Weatherly Drive,,847-555-0111,30/09/2018,30/09/2023
11154,553,Megan Walker,1996-08-21,S,F,40000,0,Skilled Manual,1,1,6898 Holiday Hills,,918-555-0186,14/07/2018,14/07/2023
11155,301,Hunter Robinson,1996-01-26,S,M,40000,0,Skilled Manual,0,1,8356 Mori Court,,891-555-0125,10/07/2018,10/07/2023
11156,334,Maria Roberts,1996-02-07,S,F,40000,0,Skilled Manual,0,1,9452 Mariposa Ct.,,158-555-0199,12/07/2018,12/07/2023
11157,642,Hannah Long,1995-06-11,M,F,40000,0,Skilled Manual,1,2,1832 Preston Ct.,,974-555-0177,25/01/2019,14/03/2024
11158,361,Jason Wright,1995-10-08,S,M,40000,0,Skilled Manual,1,2,6771 Bundros Court,,694-555-0176,23/07/2018,23/07/2023
11159,385,Brianna Hughes,1995-09-17,S,F,40000,0,Skilled Manual,0,2,6793 Bonifacio St.,,319-555-0183,11/03/2019,10/05/2024
11160,311,Maurice Tang,1994-01-08,S,M,40000,0,Skilled Manual,0,1,2886 Chaparral Court,Space # 45,947-555-0172,25/08/2018,25/08/2023
11161,311,Emily Wood,1994-04-22,S,F,40000,0,Skilled Manual,0,1,1562 Black Walnut,,184-555-0114,03/12/2018,14/05/2024
11162,331,Chase Cox,1994-03-05,S,M,40000,0,Skilled Manual,1,1,P.O. Box 8070,,764-555-0116,22/08/2018,22/08/2023
11163,372,Gabriel Wang,1994-12-20,M,M,40000,0,Skilled Manual,1,1,8002 Crane Court,,617-555-0150,02/11/2018,06/02/2024
11164,374,Devin Brooks,1994-05-05,S,M,40000,0,Skilled Manual,0,1,4231 Highland Dr.,,502-555-0138,29/10/2018,06/02/2024
11165,348,Jocelyn Alexander,1993-07-18,M,F,60000,0,Skilled Manual,0,1,3376 Bank Way,,354-555-0134,26/11/2018,07/12/2023
11166,631,Ashley Martinez,1992-04-24,S,F,70000,0,Skilled Manual,0,2,6993 Whyte Park Ave.,,131-555-0194,16/04/2019,08/06/2024
11167,618,Jasmine Barnes,1992-08-01,S,F,80000,0,Management,0,1,9183 Via Del Sol,,178-555-0156,11/07/2018,31/05/2024
11168,348,David Rodriguez,1988-05-15,S,M,80000,0,Management,0,1,38 Shangri-la Rd.,,730-555-0128,19/07/2018,19/05/2024
11169,312,Bryce Richardson,1988-06-22,M,M,90000,4,Management,1,1,1841 Blackwood Drive,,178-555-0176,27/11/2018,27/03/2024
11170,612,Carol Howard,1988-02-05,M,F,90000,4,Management,1,1,6281 Edward Ave,,845-555-0127,27/02/2019,01/07/2024
11171,385,Jonathan Hill,1987-10-09,S,M,100000,0,Management,1,2,3731 Chinquapin Ct,,134-555-0196,20/02/2017,10/05/2024
11172,626,Gabrielle Adams,1987-11-21,M,F,100000,0,Management,1,2,5621 Arcadia Pl.,,403-555-0152,04/11/2018,14/07/2024
11173,552,Sarah Thomas,1987-09-01,S,F,110000,0,Management,0,4,5636 Mt. Whitney Dr.,,868-555-0188,03/09/2018,26/06/2024
11174,338,Nicholas Robinson,1987-07-13,M,M,110000,1,Management,1,0,1318 Lasalle Street,,949-555-0138,14/01/2019,26/01/2024
11175,300,Luis Wang,1983-03-05,S,M,70000,0,Skilled Manual,1,2,6943 Patterson Blvd.,,418-555-0127,28/02/2017,06/05/2024
11176,50,Mason Roberts,1988-01-25,M,M,90000,4,Management,1,1,5753 Megan Dr.,,539-555-0162,06/08/2018,30/07/2024
11177,359,Jose Flores,1962-07-04,M,M,110000,4,Management,1,2,3991 Rambling Rose Drive,,157-555-0182,30/09/2018,16/04/2024
11178,334,Nathan Johnson,1963-08-24,M,M,100000,3,Management,1,3,8927 Daylight Place,,117-555-0182,25/08/2018,27/11/2023
11179,300,Molly Rodriguez,1963-06-14,M,F,120000,4,Management,1,3,5556 Riverland Dr.,,135-555-0185,13/09/2018,12/07/2024
11180,307,April Anand,1963-01-02,M,F,160000,3,Management,1,4,3531 Brookview Drive,,702-555-0144,18/09/2018,28/03/2024
11181,338,Devin Martin,1963-08-08,M,M,170000,3,Management,1,2,1085 Greenbelt Way,Unit B-105,735-555-0197,08/11/2018,12/01/2024
11182,638,Stephanie Torres,1964-08-25,S,F,70000,0,Management,1,2,6968 Mildred Ln.,,567-555-0176,28/02/2019,08/07/2024
11183,368,Jasmine Lee,1964-07-15,S,F,70000,0,Management,1,2,7502 Contuti Avenue,,147-555-0199,01/11/2018,15/12/2023
11184,311,Meghan Hernandez,1964-11-16,S,F,70000,0,Management,1,2,5872 L St.,,967-555-0188,11/02/2019,11/04/2024
11185,53,Ashley Henderson,1964-10-08,S,F,70000,0,Management,1,2,8834 San Jose Ave.,,173-555-0121,25/08/2018,29/07/2024
11186,352,Sarah Price,1964-05-21,S,F,70000,0,Management,1,2,4815 Paraiso Ct.,,180-555-0133,20/04/2019,10/07/2024
