ck,gk,name,bdate,ms,gender,income,childrenhome,occ,hof,nco,addr1,addr2,phone,datefirstpuchase,datelastpurchase
12175,368,Luke Powell,1975-09-13,S,M,60000,0,Professional,0,2,4591 Camino Peral,,678-555-0111,20/05/2019 00:00,23/05/2024
12224,243,Tristan Henderson,1955-09-18,M,M,20000,0,Clerical,1,0,3431 Wilton Pl.,,1 (11) 500 555-0157,18/05/2019 00:00,18/05/2024
12324,147,Dale Lal,1971-02-27,S,M,90000,1,Professional,1,3,Postfach 20 99 99,,1 (11) 500 555-0130,03/05/2019 00:00,17/05/2024
12357,29,Susan Lu,1991-04-07,S,F,100000,5,Management,1,3,4519 Sequoia Drive,,1 (11) 500 555-0148,01/05/2019 00:00,14/07/2024
12368,184,Rodney Rubio,1993-06-22,S,M,10000,0,Manual,0,2,"40, rue Royale",,1 (11) 500 555-0119,30/05/2019 00:00,30/05/2024
12389,215,Albert Jiménez,1992-07-06,S,M,30000,0,Manual,0,1,"61, place de Fontenoy",,1 (11) 500 555-0192,16/05/2019 00:00,16/05/2024
12403,273,Henry Young,1991-06-18,S,M,40000,2,Clerical,1,2,7499 Yolanda Circle,,1 (11) 500 555-0140,23/05/2019 00:00,23/05/2024
12415,552,Brianna Richardson,1986-11-02,S,F,60000,0,Skilled Manual,0,0,9178 Sand Pointe Lane,,424-555-0194,25/05/2019 00:00,25/05/2024
12425,644,Brandon White,1974-03-05,M,M,30000,0,Clerical,1,1,9146 Columbia River Ct.,,716-555-0187,20/05/2019 00:00,20/05/2024
12426,334,Cody Cox,1974-09-23,M,M,40000,0,Clerical,1,1,4693 Mills Dr.,,328-555-0119,08/05/2019 00:00,08/05/2024
12434,642,Thomas Kumar,1975-03-09,M,M,40000,0,Clerical,1,1,3344 Arguello Blvd.,,404-555-0141,23/05/2019 00:00,23/05/2024
12455,339,Benjamin Lewis,1979-04-10,M,M,60000,0,Skilled Manual,1,0,3420 Weber Bryan Pl.,,763-555-0144,20/05/2019 00:00,20/05/2024
12470,164,Barbara He,1986-02-06,M,F,20000,1,Manual,1,1,Lieblingsweg 4,,1 (11) 500 555-0110,26/05/2019 00:00,26/05/2024
12536,161,Javier Dominguez,1981-06-17,M,M,10000,0,Manual,1,0,Buergermeister-ulrich-str 6,,1 (11) 500 555-0118,24/05/2019 00:00,24/05/2024
12556,162,Manuel Kapoor,1959-08-12,M,M,10000,0,Clerical,1,1,Residenz Straße 244,,1 (11) 500 555-0158,30/05/2019 00:00,30/05/2024
12587,9,Danny Travers,1998-08-20,S,M,20000,0,Clerical,1,0,6908 Woodchuck Pl.,,1 (11) 500 555-0127,06/05/2019 00:00,27/06/2024
12594,235,Sandra Gao,1981-02-16,M,F,30000,0,Clerical,1,0,1121 Ferry Street,,1 (11) 500 555-0171,28/05/2019 00:00,18/06/2024
12626,244,Cassie Lal,1971-05-03,M,F,20000,0,Manual,1,1,4535 Walnut Blvd.,,1 (11) 500 555-0148,11/05/2019 00:00,20/05/2024
12629,147,Russell Nara,1988-12-26,S,M,20000,1,Manual,0,0,Hüttenstr 295,,1 (11) 500 555-0156,19/05/2019 00:00,19/05/2024
12663,223,Morgan Adams,1967-06-24,M,F,90000,0,Skilled Manual,1,2,"810, rue des Rosiers",,1 (11) 500 555-0167,20/05/2019 00:00,20/05/2024
12666,25,Jessie Zhu,1995-08-20,S,M,60000,0,Professional,0,4,8001 Roosevelt Avenue,,1 (11) 500 555-0150,06/05/2019 00:00,01/07/2024
12718,193,Tammy Sai,1994-11-14,S,F,30000,0,Clerical,1,1,"1, place Beaubernard",,1 (11) 500 555-0188,15/05/2019 00:00,15/05/2024
12786,298,James Yang,1976-03-03,M,M,40000,0,Clerical,1,1,8242 Gilardy Dr,,424-555-0139,14/05/2019 00:00,14/05/2024
12818,221,Curtis She,1986-02-18,M,M,20000,1,Manual,1,1,"343, rue de Cambrai",,1 (11) 500 555-0127,30/05/2019 00:00,30/05/2024
12822,162,Alexandra James,1987-05-24,M,F,40000,0,Clerical,0,0,Holzstr 6444,,1 (11) 500 555-0117,29/05/2019 00:00,29/05/2024
12831,173,Kathryn Lal,1984-01-16,S,F,20000,3,Manual,1,0,Kampstr 257,,1 (11) 500 555-0121,18/05/2019 00:00,18/05/2024
12851,183,Brandy Sai,1999-09-26,S,F,20000,4,Manual,1,2,"151, rue Jean Mermoz",,1 (11) 500 555-0175,29/05/2019 00:00,29/05/2024
12871,233,Leah Li,1996-10-06,S,F,30000,0,Clerical,0,1,9405 Curletto Dr.,,1 (11) 500 555-0122,12/05/2019 00:00,24/07/2024
12872,117,Olivia Hughes,1995-05-11,S,F,30000,0,Clerical,0,1,Hochstr 8111,,1 (11) 500 555-0156,31/05/2019 00:00,31/05/2024
12900,352,Carlos Ward,1990-06-05,M,M,60000,0,Professional,1,0,1372 Quartermaster,,548-555-0166,22/05/2019 00:00,22/05/2024
12924,300,Devon Chande,1986-10-09,M,M,60000,3,Skilled Manual,1,0,6977 Evergreen Ct.,,459-555-0110,04/05/2019 00:00,04/05/2024
12955,302,Theresa Hernandez,1982-09-10,S,F,70000,0,Professional,1,1,618 Oak Street,,783-555-0197,21/05/2019 00:00,16/07/2024
12961,536,Kimberly Murphy,1982-05-15,M,F,70000,0,Skilled Manual,1,1,222 Dancing Road,,668-555-0114,07/05/2019 00:00,20/07/2024
12968,552,Paige Butler,1981-12-19,M,F,60000,0,Skilled Manual,1,1,6736 Redbird Lane,,458-555-0135,26/05/2019 00:00,26/05/2024
13040,22,Roy Gonzalez,1971-09-20,M,M,30000,0,Skilled Manual,1,2,3627 Creekside Drive,,1 (11) 500 555-0129,23/05/2019 00:00,20/07/2024
13073,368,Sydney Lopez,1996-01-12,M,F,60000,0,Professional,1,2,3782 Fox Way,,920-555-0185,09/05/2019 00:00,09/05/2024
13124,24,Marco Vance,1984-03-01,S,M,70000,0,Professional,0,1,5565 Logan Court,,1 (11) 500 555-0163,02/05/2019 00:00,05/07/2024
13145,514,Gilbert Xu,1996-01-22,M,M,40000,0,Skilled Manual,1,2,7779 Merry Drive,,798-555-0118,07/05/2019 00:00,07/05/2024
13154,614,Aaron Lal,1999-07-22,M,M,40000,0,Skilled Manual,0,2,7196 Glen Wood Drive,,605-555-0159,08/05/2019 00:00,08/05/2024
13167,311,Mario Tang,1994-07-04,S,M,30000,0,Skilled Manual,0,1,4108 Yukon Street,,539-555-0165,09/05/2019 00:00,09/05/2024
13192,358,Hunter Martinez,1963-03-16,M,M,110000,4,Management,1,2,6300 Woodbridge Way,,225-555-0175,12/05/2019 00:00,12/05/2024
13200,359,Jessica Miller,1963-07-10,M,F,130000,3,Management,0,4,6992 Tara St.,,995-555-0180,13/05/2019 00:00,13/05/2024
13204,329,Savannah Parker,1964-08-07,S,F,70000,0,Management,1,2,8098 Virginia Circle,,550-555-0198,07/05/2019 00:00,07/05/2024
13218,307,Melissa Bryant,1966-01-28,M,F,60000,0,Management,1,3,9605 Reading Drive,,829-555-0116,05/05/2019 00:00,05/05/2024
13272,546,Jordan Gonzalez,1953-04-14,S,F,90000,0,Management,1,1,3773 Hill Dr.,,316-555-0111,01/05/2019 00:00,01/05/2024
13282,302,Madison Price,1984-06-14,M,F,120000,2,Professional,1,4,8881 Laguna St.,,356-555-0135,30/05/2019 00:00,30/05/2024
13317,338,Jeremiah Long,1974-09-09,S,M,60000,0,Professional,1,2,3298 Rock Creek Way,,146-555-0121,26/05/2019 00:00,26/05/2024
13342,312,Brandon Jackson,1962-06-17,S,M,90000,0,Management,1,2,6583 El Rancho Drive,,505-555-0190,10/05/2019 00:00,10/05/2024
13370,546,Blake Ross,1968-03-22,M,M,60000,1,Professional,1,1,Rt. 6415 Box A,,331-555-0154,21/05/2019 00:00,21/05/2024
13387,299,Miranda Jenkins,1970-03-21,M,F,60000,1,Professional,1,1,4739 Delta View Ln,,588-555-0148,05/05/2019 00:00,05/05/2024
13392,536,Hunter Parker,1971-05-03,M,M,70000,1,Professional,1,2,717 Westwood Court,,407-555-0160,12/05/2019 00:00,12/05/2024
13397,634,Adam Mitchell,1971-04-08,M,M,60000,1,Professional,1,1,3560 Harvard Dr.,,126-555-0119,15/05/2019 00:00,15/05/2024
13398,638,Logan Ross,1971-09-20,M,M,60000,1,Professional,1,1,2416 Fairlane Place,,315-555-0143,24/05/2019 00:00,24/05/2024
13399,326,Edward Young,1971-03-21,M,M,60000,1,Professional,0,2,9529 North Park Court,,385-555-0122,11/05/2019 00:00,11/05/2024
13413,547,Fernando Phillips,1952-11-18,M,M,60000,0,Management,1,2,1410 N Ranchford Court,,905-555-0115,03/05/2019 00:00,03/05/2024
13445,314,Logan Davis,1982-08-04,M,M,120000,3,Professional,0,4,2986 Cleveland Avenue,,208-555-0135,17/05/2019 00:00,17/05/2024
13459,359,Devin Foster,1975-07-17,M,M,60000,0,Professional,0,2,4703 Westbury Dr.,,227-555-0182,14/05/2019 00:00,14/05/2024
13463,298,Tammy Sara,1956-08-04,M,F,60000,0,Management,1,2,2422 Norse Drive,,620-555-0110,16/05/2019 00:00,16/05/2024
13465,337,Sydney Campbell,1956-01-05,M,F,100000,2,Management,1,4,1345 Blocking Circle,#3,134-555-0160,24/05/2019 00:00,24/05/2024
13500,142,Molly Vance,1978-07-27,M,F,10000,0,Manual,1,0,Brunnenstr 5511,,1 (11) 500 555-0153,23/05/2019 00:00,23/05/2024
13588,158,Deb Dominguez,1974-03-03,M,F,130000,4,Professional,1,4,Im Himmelsweg 89,,1 (11) 500 555-0148,19/05/2019 00:00,19/05/2024
13655,609,Christopher Walker,1961-01-03,M,M,100000,3,Management,1,3,7646 H Stagecoach Rd,,102-555-0150,09/05/2019 00:00,09/05/2024
13673,213,Sandra He,2000-11-13,S,F,20000,0,Manual,0,2,"9, avenue Reille",,1 (11) 500 555-0142,20/05/2019 00:00,20/05/2024
13706,49,Kaitlyn Peterson,1995-06-16,S,F,40000,3,Clerical,1,2,7537 Kaski Lane,,942-555-0153,31/05/2019 00:00,31/05/2024
13709,51,Zachary Robinson,1986-08-14,S,M,60000,0,Skilled Manual,0,0,8964 Mills Dr.,,489-555-0170,14/05/2019 00:00,14/05/2024
13710,59,Destiny Harris,1986-07-14,S,F,60000,0,Skilled Manual,1,0,3142 Broadway St.,,923-555-0137,02/05/2019 00:00,02/05/2024
13711,62,Thomas Mitchell,1986-08-01,S,M,60000,0,Skilled Manual,0,0,378 Canyon Road,,948-555-0140,19/05/2019 00:00,19/05/2024
13723,301,Leonard Raje,1974-08-06,M,M,30000,0,Clerical,1,1,3675 Palms Dr,,346-555-0178,04/05/2019 00:00,04/05/2024
13743,59,Isabella Anderson,1977-10-22,M,F,40000,0,Clerical,1,1,3746 Via Romero,,139-555-0156,10/05/2019 00:00,10/05/2024
13780,215,Monica Perez,1986-07-20,M,F,20000,1,Manual,1,1,"6, impasse Notre-Dame",,1 (11) 500 555-0191,27/05/2019 00:00,27/05/2024
13796,130,Martha Zheng,1983-09-04,M,F,10000,2,Manual,0,2,Höhenstr 9419,,1 (11) 500 555-0116,04/05/2019 00:00,04/05/2024
13826,127,Candice He,1997-11-25,S,F,30000,0,Clerical,0,1,Rotthäuser Weg 100,,1 (11) 500 555-0114,09/05/2019 00:00,09/05/2024
13828,167,Jessie Travers,1997-07-05,S,F,30000,0,Clerical,1,1,Lieblingsweg 245,,1 (11) 500 555-0179,03/05/2019 00:00,03/05/2024
13833,221,Noah Lewis,1996-04-07,S,M,20000,0,Manual,0,1,"95, impasse Notre-Dame",,1 (11) 500 555-0118,21/05/2019 00:00,21/05/2024
13834,212,Naomi Suarez,1996-06-27,S,F,20000,0,Manual,0,1,"7126, avenue de l´Europe",,1 (11) 500 555-0135,12/05/2019 00:00,12/05/2024
13837,120,Alyssa Lee,1996-08-13,S,F,30000,0,Clerical,1,1,Buergermeister-ulrich-str 123,,1 (11) 500 555-0113,15/05/2019 00:00,15/05/2024
13851,60,Seth Moore,1992-07-08,S,M,40000,0,Skilled Manual,0,0,1059 Delta Fair Blvd.,,481-555-0125,14/05/2019 00:00,14/05/2024
13852,54,Ian Robinson,1993-02-01,S,M,50000,0,Skilled Manual,1,0,6463 Landover Ln,,813-555-0130,31/05/2019 00:00,31/05/2024
13869,302,Anna Morgan,1989-02-09,M,F,50000,1,Skilled Manual,1,1,9491 Fountain Road,,903-555-0175,05/05/2019 00:00,05/05/2024
13888,616,Ian Brown,1987-11-06,S,M,70000,2,Skilled Manual,1,1,4540 Wood Ranch Circle,Space 51,846-555-0173,01/05/2019 00:00,01/05/2024
13922,548,Jackson Foster,1983-05-07,M,M,60000,2,Professional,1,2,4405 Grant Street,,735-555-0115,17/05/2019 00:00,17/05/2024
13932,316,Timothy Sanchez,1981-12-13,M,M,40000,3,Skilled Manual,1,3,3591 Pepperidge Way,,480-555-0112,09/05/2019 00:00,09/05/2024
13991,638,Jack Hayes,1998-03-08,M,M,40000,0,Skilled Manual,1,1,4510 Ten Penny Lane,,534-555-0131,05/05/2019 00:00,05/05/2024
14142,154,Damien Zheng,1980-09-13,M,M,10000,1,Manual,1,1,3951 Panoramic Avenue,,1 (11) 500 555-0123,01/05/2019 00:00,01/05/2024
14178,192,Katie Raje,1966-09-15,S,F,90000,0,Professional,0,2,"8, avenue de Norvege",,1 (11) 500 555-0136,27/05/2019 00:00,27/05/2024
14201,201,Marie Serrano,1968-04-10,M,F,80000,1,Management,1,4,"2181, rue Malar",,1 (11) 500 555-0144,17/05/2019 00:00,17/05/2024
14251,368,Alex Brooks,1962-08-22,M,M,170000,3,Management,1,2,2050 B Avenue I,,488-555-0151,09/05/2019 00:00,09/05/2024
14321,39,Jackson Evans,1978-10-26,M,M,80000,4,Professional,1,2,7078 Kenston Dr.,,1 (11) 500 555-0136,17/05/2019 00:00,28/07/2024
14327,315,Kyle Butler,1996-02-19,S,M,30000,0,Skilled Manual,0,2,4844 Spring Water St,,781-555-0134,21/05/2019 00:00,21/05/2024
14333,611,Bobby Suri,2000-04-04,S,M,30000,0,Clerical,0,2,2312 Richard Ave.,,312-555-0136,30/05/2019 00:00,30/05/2024
14389,315,Ryan Harris,1967-08-02,M,M,60000,1,Management,1,0,4654 Marina View Pkwy.,,871-555-0199,02/05/2019 00:00,02/05/2024
14390,369,Logan Kumar,1967-11-22,M,M,60000,1,Management,0,0,6719 Santa Teresa Dr,# 1117,673-555-0165,06/05/2019 00:00,06/05/2024
14410,345,Arianna Brooks,1970-06-26,M,F,70000,2,Professional,1,1,7934 C Street,,718-555-0172,29/05/2019 00:00,29/05/2024
14499,315,Samuel Flores,1957-04-09,M,M,100000,3,Management,1,3,869 Lori Court,,226-555-0127,02/05/2019 00:00,02/05/2024
14506,536,Stacy Suarez,1960-05-20,M,F,90000,0,Management,0,2,7341 Mt. Washington Way,,161-555-0119,16/05/2019 00:00,16/05/2024
14527,133,Kurt Raji,1982-10-08,M,M,10000,0,Manual,1,0,Auf den Kuhlen Straße 765,,1 (11) 500 555-0144,13/05/2019 00:00,13/05/2024
14534,207,Abby Rana,1981-04-24,S,F,10000,0,Manual,1,0,"2401, rue des Bouchers",,1 (11) 500 555-0147,07/05/2019 00:00,07/05/2024
14547,267,Noah Thompson,1975-07-05,M,M,10000,0,Manual,1,0,9676 Hidden Lakes Court,,1 (11) 500 555-0186,26/05/2019 00:00,25/06/2024
14548,186,Maria Turner,1975-06-20,M,F,10000,0,Manual,1,0,"380, avenue de Malakoff",,1 (11) 500 555-0187,04/05/2019 00:00,04/05/2024
14586,58,Todd Rowe,1987-11-11,S,F,70000,2,Skilled Manual,1,1,1908 San Jose Ave,,742-555-0195,22/05/2019 00:00,22/06/2024
14595,325,Andrea Ward,1986-04-10,M,F,60000,0,Professional,1,0,3337 Roland Ct,,379-555-0188,02/05/2019 00:00,02/05/2024
14607,542,Isaiah Nelson,1984-05-04,M,M,50000,4,Skilled Manual,1,2,4166 Deercreek Ln.,,566-555-0155,13/05/2019 00:00,13/05/2024
14615,311,Audrey Dominguez,1988-07-13,S,F,60000,0,Professional,0,1,5124 Palmer Rd.,,764-555-0139,02/05/2019 00:00,02/05/2024
14625,627,Benjamin Simmons,1982-03-10,M,M,70000,0,Skilled Manual,1,1,5030 RaceCt,,394-555-0190,01/05/2019 00:00,01/05/2024
14630,329,Isaiah James,1981-08-07,M,M,60000,0,Skilled Manual,1,1,6547 Lexington Road,,168-555-0128,05/05/2019 00:00,05/05/2024
14663,310,Arturo Hu,1978-10-04,M,M,70000,4,Professional,1,2,8701 Tuolumne Way,,193-555-0116,19/05/2019 00:00,19/05/2024
14680,20,Marvin Munoz,1986-11-19,S,M,80000,5,Professional,1,3,3814 Harvard Drive,,1 (11) 500 555-0110,31/05/2019 00:00,31/07/2024
14692,240,Nichole Sharma,1998-03-12,S,F,30000,0,Clerical,0,1,7025 Eastgate Avenue,,1 (11) 500 555-0141,14/05/2019 00:00,14/07/2024
14695,156,Russell Andersen,1992-09-19,S,M,10000,0,Manual,0,2,Berliner Platz 4,,1 (11) 500 555-0172,06/05/2019 00:00,06/05/2024
14766,223,Curtis Xu,1988-02-22,S,M,20000,1,Manual,0,0,"1, place Beaubernard",,1 (11) 500 555-0166,28/05/2019 00:00,28/05/2024
14815,236,Isabella Gonzales,1985-12-18,M,F,40000,0,Skilled Manual,1,0,851 Summerfield Drive,,1 (11) 500 555-0131,17/05/2019 00:00,17/05/2024
14837,144,Dennis Li,1997-07-17,S,M,30000,0,Clerical,1,1,Am Karlshof 368,,1 (11) 500 555-0164,20/05/2019 00:00,20/05/2024
14922,642,Paige Perry,1979-09-14,S,F,60000,0,Skilled Manual,0,0,3359 Northwood Dr,,636-555-0197,27/05/2019 00:00,27/05/2024
14934,245,Jermaine Sai,1987-03-24,S,M,30000,1,Clerical,0,0,3949 Fillet Ave.,,1 (11) 500 555-0113,13/05/2019 00:00,23/05/2024
14963,231,Sydney Perry,1985-03-23,M,F,40000,0,Skilled Manual,1,0,7307 Corte Segundo,,1 (11) 500 555-0169,12/05/2019 00:00,12/05/2024
14964,262,Damien Shen,1985-06-03,M,M,40000,0,Skilled Manual,1,0,2557 Meadowbrook Dr.,,1 (11) 500 555-0116,31/05/2019 00:00,31/05/2024
15049,155,Frank Dominguez,1980-03-24,S,M,10000,1,Manual,0,1,Buergermeister-ulrich-str 5800,,1 (11) 500 555-0124,29/05/2019 00:00,29/05/2024
15159,648,Eric Washington,1961-08-15,M,M,100000,3,Management,1,3,1345 La Luz,,874-555-0150,20/05/2019 00:00,20/05/2024
15177,311,Jorge Lu,1993-08-19,S,M,70000,0,Professional,0,2,9314 Indianhead Way,,117-555-0110,28/05/2019 00:00,28/05/2024
15248,612,Richard Harris,1996-12-28,M,M,40000,0,Skilled Manual,1,2,4277 Banana Court,,429-555-0155,12/05/2019 00:00,12/05/2024
15272,642,Kyle Gonzales,1996-07-02,S,M,40000,0,Skilled Manual,0,2,277 South Royal Links,,258-555-0160,27/05/2019 00:00,27/05/2024
15286,546,Thomas Nelson,1993-10-01,M,M,50000,0,Skilled Manual,1,0,3278 Mt. Hood Clircle,,340-555-0178,14/05/2019 00:00,14/05/2024
15291,62,Julia Alexander,1991-10-23,S,F,60000,0,Skilled Manual,1,0,8428 Appia Court,,381-555-0158,18/05/2019 00:00,18/05/2024
15298,612,Joe Chandra,1992-09-11,M,M,50000,1,Skilled Manual,1,0,5342 Pacheco St.,,204-555-0194,23/05/2019 00:00,23/05/2024
15299,543,Charles Lopez,1992-10-22,M,M,50000,1,Skilled Manual,1,0,5022 Euclid Ave.,,517-555-0133,28/05/2019 00:00,28/05/2024
15316,314,Alexis Harris,1967-10-11,M,F,60000,0,Management,1,3,8055 Kiska Court,,192-555-0138,02/05/2019 00:00,02/05/2024
15323,64,Eduardo Wilson,1968-03-23,M,M,40000,1,Professional,1,2,8764 Pacific,,764-555-0184,23/05/2019 00:00,23/05/2024
15327,312,Paula Hernandez,1968-12-16,S,F,60000,1,Management,1,0,2976 Dumbarton Drive,,205-555-0111,28/05/2019 00:00,28/05/2024
15332,637,Jason Sharma,1969-04-08,M,M,60000,1,Professional,1,2,6927 Ricardo Drive,,785-555-0118,30/05/2019 00:00,30/05/2024
15335,634,Emily Patterson,1970-02-03,S,F,60000,1,Professional,1,2,6220 Krueger Dr.,,117-555-0161,11/05/2019 00:00,11/05/2024
15355,186,Janelle Martinez,1976-01-18,M,F,100000,3,Professional,1,4,"22, avenue Foch",,1 (11) 500 555-0181,06/05/2019 00:00,06/05/2024
15387,307,Miguel Rodriguez,1981-02-13,M,M,110000,3,Professional,1,4,6448 Castle Court,,988-555-0125,28/05/2019 00:00,28/05/2024
15407,637,Julia Lee,1973-09-06,S,F,70000,0,Management,1,2,3443 Centennial Way,,870-555-0110,04/05/2019 00:00,04/05/2024
15437,11,Candace Srini,1967-06-22,M,F,20000,0,Skilled Manual,1,2,2096 Trinity Ave.,,1 (11) 500 555-0110,16/05/2019 00:00,19/07/2024
15479,631,Andrea Wright,1991-08-21,M,F,60000,0,Professional,1,0,1086 Rose Dr.,,817-555-0190,23/05/2019 00:00,23/05/2024
15607,20,Ricky Gill,1984-09-22,S,M,70000,0,Professional,0,1,7559 W. Buchanan Rd.,,1 (11) 500 555-0113,19/05/2019 00:00,11/07/2024
15698,162,Susan Wang,1973-03-03,S,F,120000,5,Management,1,3,Rykestr 8114,,1 (11) 500 555-0191,14/05/2019 00:00,14/05/2024
15713,267,Hannah Lee,1968-06-09,M,F,130000,5,Professional,1,4,9771 Wesley Court,,1 (11) 500 555-0126,11/05/2019 00:00,31/05/2024
15736,300,Sheena Raje,1961-06-13,M,F,110000,4,Management,1,2,5707 Monte Vista Road,A211,161-555-0149,10/05/2019 00:00,10/05/2024
15743,623,Chloe Thompson,1962-02-18,M,F,120000,4,Management,0,3,3748 Moss Hollow Court,,524-555-0119,27/05/2019 00:00,27/05/2024
15872,69,Gabriella Gonzalez,1992-10-02,M,F,50000,1,Skilled Manual,1,0,5828 E. 102nd Street,,305-555-0149,05/05/2019 00:00,17/06/2024
15898,648,Isaiah Gonzalez,1969-05-01,M,M,60000,1,Professional,0,2,4208 Seal Way,,301-555-0163,08/05/2019 00:00,08/05/2024
15936,553,Abigail Johnson,1953-07-15,M,F,90000,0,Management,1,1,7241 Scenic Avenue,,779-555-0116,04/05/2019 00:00,04/05/2024
15956,348,Ryan Li,1983-05-17,M,M,130000,2,Management,1,4,3027 W 69th St,,160-555-0172,30/05/2019 00:00,30/05/2024
15962,547,Benjamin Winter,1981-01-11,S,M,90000,3,Professional,1,2,7514 Laguna St.,,233-555-0162,26/05/2019 00:00,26/05/2024
15978,614,Xavier Walker,1980-11-18,M,M,90000,3,Professional,1,3,7743 Ham Dr,Unit 2b,359-555-0138,26/05/2019 00:00,26/05/2024
16030,25,Max Martin,1967-05-21,M,M,20000,0,Skilled Manual,1,2,9278 San Francisco,,1 (11) 500 555-0116,01/05/2019 00:00,23/07/2024
